RecordNumber,Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Xaxis,Yaxis,Zaxis,WorldRegion,Country,LocationText,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,Notes
27269,52739,STANDARD,CONESVILLE,IA,PRIMARY,41.38,-91.34,-0.01,-0.75,0.66,NA,US,"Conesville, IA",NA-US-IA-CONESVILLE,FALSE,337,608,9416708,
27270,50621,STANDARD,CONRAD,IA,PRIMARY,42.22,-92.87,-0.03,-0.73,0.67,NA,US,"Conrad, IA",NA-US-IA-CONRAD,FALSE,684,1269,26170376,
27272,50058,STANDARD,COON RAPIDS,IA,PRIMARY,41.87,-94.67,-0.06,-0.74,0.66,NA,US,"Coon Rapids, IA",NA-US-IA-COON RAPIDS,FALSE,908,1601,25175547,
27274,50841,STANDARD,CORNING,IA,PRIMARY,40.99,-94.73,-0.06,-0.75,0.65,NA,US,"Corning, IA",NA-US-IA-CORNING,FALSE,1374,2411,34696804,
27277,51016,STANDARD,CORRECTIONVILLE,IA,PRIMARY,42.47,-95.78,-0.07,-0.73,0.67,NA,US,"Correctionville, IA",NA-US-IA-CORRECTIONVILLE,FALSE,635,1158,16995731,
27280,50060,STANDARD,CORYDON,IA,PRIMARY,40.75,-93.31,-0.04,-0.75,0.65,NA,US,"Corydon, IA",NA-US-IA-CORYDON,FALSE,1129,2007,30805349,
27285,52621,STANDARD,CRAWFORDSVILLE,IA,PRIMARY,41.21,-91.53,-0.02,-0.75,0.65,NA,US,"Crawfordsville, IA",NA-US-IA-CRAWFORDSVILLE,FALSE,329,622,10968548,
27288,52136,STANDARD,CRESCO,IA,PRIMARY,43.37,-92.11,-0.02,-0.72,0.68,NA,US,"Cresco, IA",NA-US-IA-CRESCO,FALSE,2873,5009,81030596,
27293,50801,STANDARD,CRESTON,IA,PRIMARY,41.05,-94.36,-0.05,-0.75,0.65,NA,US,"Creston, IA",NA-US-IA-CRESTON,FALSE,4327,7533,127078065,
27296,50843,STANDARD,CUMBERLAND,IA,PRIMARY,41.27,-94.86,-0.06,-0.74,0.65,NA,US,"Cumberland, IA",NA-US-IA-CUMBERLAND,FALSE,268,481,5656372,
27297,50061,STANDARD,CUMMING,IA,PRIMARY,41.48,-93.76,-0.04,-0.74,0.66,NA,US,"Cumming, IA",NA-US-IA-CUMMING,FALSE,826,1625,68400337,
27305,50529,STANDARD,DAKOTA CITY,IA,PRIMARY,42.72,-94.19,-0.05,-0.73,0.67,NA,US,"Dakota City, IA",NA-US-IA-DAKOTA CITY,FALSE,410,743,13862531,
27306,50063,STANDARD,DALLAS CENTER,IA,PRIMARY,41.68,-93.98,-0.05,-0.74,0.66,NA,US,"Dallas Center, IA",NA-US-IA-DALLAS CENTER,FALSE,1190,2183,52231374,
27308,51019,STANDARD,DANBURY,IA,PRIMARY,42.23,-95.72,-0.07,-0.73,0.67,NA,US,"Danbury, IA",NA-US-IA-DANBURY,FALSE,378,708,8727062,
27309,52623,STANDARD,DANVILLE,IA,PRIMARY,40.86,-91.31,-0.01,-0.75,0.65,NA,US,"Danville, IA",NA-US-IA-DANVILLE,FALSE,885,1666,29593417,
27310,52801,STANDARD,DAVENPORT,IA,PRIMARY,41.55,-90.6,-7.89E-03,-0.74,0.66,NA,US,"Davenport, IA",NA-US-IA-DAVENPORT,FALSE,327,400,7177890,
27311,52802,STANDARD,DAVENPORT,IA,PRIMARY,41.55,-90.6,-7.89E-03,-0.74,0.66,NA,US,"Davenport, IA",NA-US-IA-DAVENPORT,FALSE,4683,7696,113054826,
